4096,0.152519
8192,0.171595
16384,0.166641
32768,0.159156
65536,0.161351
131072,0.162963
262144,0.161007
524288,0.159983
1048576,0.157217
2097152,0.159738
4194304,0.159908
8388608,0.156301
16777216,0.15029
4096,0.143123
8192,0.146571
16384,0.153796
32768,0.158571
65536,0.161134
131072,0.145743
4096,0.149348
8192,0.172984
16384,0.166649
32768,0.165957
65536,0.140999
131072,0.156018
262144,0.160415
524288,0.158271
4096,0.146757
8192,0.173631
16384,0.168125
32768,0.165447
65536,0.164686
4096,0.121447
8192,0.145938
16384,0.15413
32768,0.158723
65536,0.161255
131072,0.154351
4096,0.064787
8192,0.153486
16384,0.163503
32768,0.165693
65536,0.164904
131072,0.14451
