File Size,Cluster Size,Cluster Amount,Throughput,User Time,Kernel Time
137438953472,32768,131072.0,5.979818666666667,0.013333333333333334,0.32
137438953472,262144,16384.0,26.829487333333333,0.013333333333333334,0.3333333333333333
137438953472,2097152,2048.0,118.00518866666668,0.05000000000000001,0.8666666666666667
137438953472,4194304,1024.0,144.69704566666667,0.08666666666666667,1.0066666666666666
137438953472,8388608,512.0,164.34137433333333,0.17,1.1233333333333333
137438953472,16777216,256.0,175.211369,0.33,1.19
137438953472,33554432,128.0,181.88160566666667,0.6533333333333333,1.2299999999999998
137438953472,67108864,64.0,184.2903226666667,1.2866666666666668,1.2533333333333334
137438953472,134217728,32.0,187.07215399999998,2.5833333333333335,1.0866666666666667
137438953472,1073741824,4.0,192.33237033333333,20.656666666666666,0.9833333333333334
