File Size,Cluster Size,Cluster Amount,Throughput,User Time,Kernel Time
137438953472,32768,131072.0,6.145762666666667,0.016666666666666666,0.27
137438953472,262144,16384.0,28.630908,0.056666666666666664,1.05
137438953472,2097152,2048.0,132.85314566666668,0.11666666666666668,2.0833333333333335
137438953472,4194304,1024.0,156.68417866666667,0.14,2.19
137438953472,8388608,512.0,168.16235866666668,0.13333333333333333,2.1799999999999997
137438953472,16777216,256.0,179.91518366666665,0.16,2.23
137438953472,33554432,128.0,186.73292033333334,0.1566666666666667,2.2933333333333334
137438953472,67108864,64.0,188.05768933333334,0.18000000000000002,2.24
137438953472,134217728,32.0,192.72252400000002,0.18333333333333335,2.3066666666666666
137438953472,1073741824,4.0,193.6495483333333,0.16333333333333333,2.3233333333333333
137438953472,4294967296,1.0,197.54126066666666,0.16333333333333333,2.4033333333333338
