4096,0.390158,60.60696,0.18,3.3,887798.0,1.0
8192,1.242076,123.351206,0.28,3.2,903452.0,1.0
16384,1.587286,206.216687,0.17,3.05,755189.0,1.0
32768,3.042943,334.910725,0.13,2.8,613240.0,1.0
65536,15.349864,488.332183,0.07,2.52,447082.0,1.0
131072,12.918527,652.175844,0.06,2.16,298543.0,1.0
262144,34.629276,726.266739,0.17,4.22,166230.0,1.0
524288,45.473509,757.799107,0.13,2.86,86724.0,1.0
1048576,94.962928,777.800274,0.04,2.19,44507.0,1.0
2097152,107.538277,1494.794411,0.04,6.36,85533.0,1.0
4194304,196.589149,1220.954259,0.03,6.47,34932.0,1.0
8388608,243.204319,1274.605534,0.0,14.06,18234.0,1.0
16777216,276.765335,1408.65603,0.0,15.94,10076.0,1.0
33554432,278.568311,1409.614845,0.01,16.17,5042.0,1.0
67108864,290.960463,557.140567,0.0,5.37,997.0,1.0
134217728,314.826463,382.089367,0.0,3.53,342.0,1.0
268435456,324.273626,321.953452,0.0,2.77,145.0,1.0
536870912,329.960853,327.109945,0.0,2.89,74.0,1.0
1073741824,338.661998,333.872855,0.0,3.07,37.0,0.0
