4096,459.08989,14334.91595,1.44,3.56,17498680.0,1.0,5
8192,817.238627,13912.577877,1.32,3.67,16983129.0,1.0,5
16384,2582.190701,14055.238513,1.48,3.51,17157275.0,1.0,5
32768,1651.196775,14077.700311,1.33,3.66,17184695.0,1.0,5
65536,2013.704102,13651.975135,1.24,3.76,16665010.0,1.0,5
131072,2169.132493,13427.700706,1.19,3.8,16391238.0,1.0,5
262144,2128.984577,13534.508396,1.32,3.67,16521618.0,1.0,5
524288,2192.37106,13335.663937,1.32,3.67,16278888.0,1.0,5
1048576,2511.998505,12333.215367,1.2,3.79,15055196.0,1.0,5
2097152,2526.171748,9910.713808,1.07,3.92,12098041.0,1.0,5
4194304,2492.163682,9270.298687,0.81,4.18,11316284.0,1.0,5
8388608,5158.024057,9992.006383,0.92,4.07,12197275.0,1.0,5
16777216,3682.935739,9452.982298,0.86,4.13,11539287.0,1.0,5
33554432,3823.981069,8325.225206,0.76,4.23,10162630.0,1.0,5
67108864,4853.484555,7240.233415,0.6,4.39,8838177.0,1.0,5
134217728,4712.378968,6760.494548,0.54,4.45,8252558.0,1.0,5
268435456,6185.683233,6731.726362,0.62,4.37,8217440.0,1.0,5
536870912,4713.009256,4985.826986,0.47,4.52,6086215.0,1.0,5
1073741824,6332.188781,6508.968532,0.57,4.42,7945519.0,1.0,5
