4096,1236.341684,14326.32979,1.34,3.65,17488197.0,1.0,5
8192,905.393457,13984.315988,1.32,3.68,17070700.0,1.0,5
16384,1204.440197,13980.28031,1.32,3.67,17065774.0,1.0,5
32768,1296.407659,14026.414277,1.28,3.71,17122090.0,1.0,5
65536,1926.226376,13516.571892,1.33,3.66,16499723.0,1.0,5
131072,2128.863551,13460.959304,1.15,3.84,16431837.0,1.0,5
262144,2396.285056,13658.927843,1.26,3.73,16673498.0,1.0,5
524288,2427.821255,13325.888625,1.42,3.57,16266956.0,1.0,5
1048576,2436.537277,12233.983827,1.18,3.81,14934064.0,1.0,5
2097152,2439.394116,9501.066609,0.83,4.16,11597983.0,1.0,5
4194304,5097.239135,9391.050044,0.84,4.16,11463685.0,1.0,5
8388608,2530.764297,9584.817117,0.93,4.06,11700218.0,1.0,5
16777216,4488.055058,8967.812754,0.87,4.12,10947039.0,1.0,5
33554432,3185.02524,6390.481049,0.59,4.4,7800881.0,1.0,5
67108864,4653.572647,6477.943036,0.6,4.4,7907646.0,1.0,5
134217728,3915.923107,4731.496983,0.41,4.59,5775754.0,1.0,5
268435456,5156.658455,5798.346965,0.57,4.43,7078061.0,1.0,5
536870912,5142.23644,5532.73202,0.48,4.52,6753824.0,1.0,5
1073741824,4470.254784,5297.285953,0.53,4.46,6466414.0,1.0,5
