32768,1.656516,140.801492,0.05,1.16,258025.0,1.0,4229.918032786885,32.0,98.44590163934426,60
65536,0.254716,131.976342,0.06,1.2,241656.0,1.0,3961.5737704918033,32.0,98.3672131147541,60
131072,0.427105,133.476571,0.05,1.21,244403.0,1.0,4006.6065573770493,32.0,98.32131147540984,60
262144,0.990188,135.902946,0.02,1.16,248846.0,1.0,4079.44262295082,32.0,98.36721311475411,60
524288,18.612513,137.44409,0.05,1.15,251668.0,1.0,4125.704918032787,32.0,98.3672131147541,60
1048576,1.98222,128.460972,0.04,1.15,235355.0,1.0,3856.6600000000003,32.0,98.41,60
2097152,1.646531,120.779737,0.03,1.14,221214.0,1.0,3626.4586885245903,32.0,98.392131147541,60
4194304,1.045332,120.106172,0.05,1.02,219927.0,1.0,3605.3606557377047,32.0,98.3672131147541,60
8388608,1.609285,112.696869,0.03,1.06,206381.0,1.0,3383.2950819672133,32.0,98.38032786885246,60
16777216,4.362903,94.454162,0.04,0.89,173077.0,1.0,2837.3278688524592,32.0,98.43934426229508,60
33554432,6.352993,3.134325,0.01,0.07,5744.0,1.0,94.1639344262295,32.0,98.45245901639345,60
67108864,3.056509,2.73213,0.0,0.07,5003.0,1.0,82.01639344262296,32.0,98.37377049180328,60
134217728,2.744969,2.664876,0.0,0.09,4880.0,1.0,80.0,32.0,98.31475409836067,60
268435456,2.744969,2.664876,0.0,0.09,4880.0,1.0,80.0,32.0,98.31475409836067,60
536870912,2.744969,2.664876,0.0,0.09,4880.0,1.0,80.0,32.0,98.31475409836067,60
1073741824,2.744969,2.664876,0.0,0.09,4880.0,1.0,80.0,32.0,98.31475409836067,60
